exp_id,hypothesis_group,feature_set,model,target_mode,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,linearsvr,raw,raw,0.2465621126050166,0.009078617840890953,0.47349336641167444,0.08787455287738462,0.11386340824911895,0.8186490960163058,kfold; scaled; dense
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,linearsvr,raw,clip_0_1,0.2465621126050166,0.009078617840890953,0.47349336641167444,0.08787455287738462,0.11386340824911895,0.8186490960163058,kfold; scaled; dense
v5_20260617_030349,A_linear_scorecard,S3_mean_working_score,linearsvr,raw,clip_0_1_round2,0.24657333333333337,0.009031833960572912,0.4734433333333333,0.08786780054346609,0.11,0.82,kfold; scaled; dense
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,raw,clip_0_1_round2,0.24929666666666672,0.006333848906889762,0.4821,0.0326294073816145,0.33,0.59,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,raw,clip_0_1,0.2493393631647244,0.006416590805364237,0.48216097552040815,0.03250030695822152,0.33112388058760156,0.5912663521469237,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,raw,raw,0.2493393631647244,0.006416590805364237,0.48216097552040815,0.03250030695822152,0.33112388058760156,0.5912663521469237,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,raw,clip_0_1_round2,0.24947666666666665,0.00624337772620709,0.48216000000000003,0.03188217722189212,0.35,0.59,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,raw,raw,0.24948064898454345,0.006407033786845901,0.48215187976048657,0.031749258626216505,0.35463483224572034,0.5895744622264212,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,raw,clip_0_1,0.24948064898454345,0.006407033786845901,0.48215187976048657,0.031749258626216505,0.35463483224572034,0.5895744622264212,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,quantile_target,clip_0_1_round2,0.25022333333333335,0.006956106651934441,0.4752866666666667,0.055638263461481485,0.25,0.65,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,quantile_target,raw,0.25023045809423217,0.006982472579503013,0.47532117492923515,0.05563816464498568,0.25,0.65,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S2_core_derived,ridge,quantile_target,clip_0_1,0.25023045809423217,0.006982472579503013,0.47532117492923515,0.05563816464498568,0.25,0.65,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,quantile_target,raw,0.2504040119353118,0.006837867881377213,0.47524851781862093,0.05495593219239355,0.28,0.64,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,quantile_target,clip_0_1,0.2504040119353118,0.006837867881377213,0.47524851781862093,0.05495593219239355,0.28,0.64,kfold; scaled; sparse-ok
v5_20260617_030349,A_linear_scorecard,S1_simple_score_encoding,ridge,quantile_target,clip_0_1_round2,0.25042,0.006827290914745602,0.47525,0.05497221857391526,0.28,0.64,kfold; scaled; sparse-ok
